,True Rating,Predicted Rating,True Genre,Predicted Genre
2772,3.95,4.380999999999999,Fiction,Fiction
2776,4.51,4.316,Non-Fiction,Fiction
2779,4.56,4.4559999999999995,Fiction,Fiction
2788,4.13,4.5760000000000005,Fiction,Fiction
2807,4.59,4.438999999999999,Fiction,Fiction
2808,4.08,4.005999999999999,Fiction,Fiction
2815,4.39,4.339,Non-Fiction,Non-Fiction
2818,4.51,4.305000000000001,Non-Fiction,Fiction
2828,3.83,4.564,Fiction,Fiction
2834,3.8,4.298,Non-Fiction,Fiction
2837,4.44,4.429,Non-Fiction,Fiction
2842,3.76,4.279999999999999,Fiction,Fiction
2843,4.04,4.182,Fiction,Fiction
2848,4.33,4.566,Fiction,Fiction
2851,3.0,4.859,Fiction,Fiction
2856,4.32,4.389000000000001,Fiction,Fiction
2860,4.19,4.516,Non-Fiction,Fiction
2870,3.51,4.378,Non-Fiction,Fiction
2873,5.0,4.885,Fiction,Fiction
2879,4.86,4.521,Non-Fiction,Fiction
2880,3.91,4.411999999999999,Fiction,Fiction
2883,3.73,4.351999999999999,Fiction,Fiction
2886,4.0,4.43,Non-Fiction,Fiction
2900,4.8,4.648999999999999,Fiction,Fiction
2907,0.0,0.0,Fiction,Fiction
2926,4.28,4.563,Fiction,Fiction
2930,4.25,4.2989999999999995,Fiction,Fiction
2931,4.12,4.168000000000001,Fiction,Fiction
2937,4.0,4.231,Fiction,Fiction
2957,4.61,4.434,Non-Fiction,Non-Fiction
2964,3.9,4.4350000000000005,Fiction,Fiction
2971,4.04,4.245,Fiction,Fiction
2974,4.71,4.355,Non-Fiction,Non-Fiction
2976,4.13,4.378,Fiction,Fiction
